asset_sub_category,plan_name,time_range,avg_annual_sd,avg_beta,avg_sharpe_ratio,avg_jensens_alpha,avg_treynor_ratio,avg_information_ratio,avg_sortino_ratio,avg_r_squared,avg_max_draw_down,avg_upside_capture,avg_downside_capture
Solution Oriented - Children's Fund,Direct,3Y,16.99538888888889,1.3438777777777777,0.39386666666666664,-0.5013333333333332,,,,,,,
Solution Oriented - Retirement,Direct,3Y,12.08622,1.03697,0.16531499999999996,-0.619835,,,,,,,
Tax Savings,Direct,3Y,21.73405277777778,0.9384361111111112,0.4737250000000002,0.8542361111111112,,,,,,,
Thematic - Agriculture & Food,Direct,3Y,16.4943,0.6262,-0.1949,-1.9656,,,,,,,
Thematic - Business Cycles,Direct,3Y,22.09855,0.94755,0.492,1.5086499999999998,,,,,,,
Thematic - Commodities,Direct,3Y,27.983,1.00455,0.84405,8.04105,,,,,,,
Thematic - Consumption,Direct,3Y,19.43621818181818,0.9839272727272728,0.5602363636363638,3.109472727272727,,,,,,,
Thematic - Contra,Direct,3Y,23.12372,0.98612,0.6727000000000001,5.312860000000001,,,,,,,
Thematic - Dividend Yield,Direct,3Y,19.930619999999998,0.84712,0.66438,3.83074,,,,,,,
Thematic - ESG,Direct,3Y,20.7242,0.9353499999999999,0.41115,-0.27785000000000004,,,,,,,
Thematic - Energy,Direct,3Y,26.26516666666667,1.0367666666666666,0.44896666666666674,6.001766666666668,,,,,,,
Thematic - IPO,Direct,3Y,22.0656,0.591,0.5691,7.4787,,,,,,,
Thematic - Infrastructure,Direct,3Y,25.339814999999994,,0.6160850000000002,,,,,,,,
Thematic - Innovation,Direct,3Y,22.9919,0.5695,0.5821,4.9707,,,,,,,
Thematic - MNC,Direct,3Y,16.830975,0.9419500000000001,0.46625,1.2164499999999998,,,,,,,
Thematic - Manufacturing,Direct,3Y,20.93375,0.9934499999999999,0.5665,4.3125,,,,,,,
Thematic - Mining & Metals,Direct,3Y,29.5529,0.9399,0.5077,18.5653,,,,,,,
Thematic - Momentum,Direct,3Y,,,,,,,,,,,
Thematic - PSU,Direct,3Y,22.9625,0.7276,0.49660000000000004,5.9331499999999995,,,,,,,
Thematic - Precious Metals,Direct,3Y,34.6597,0.6911,-0.0878,2.2499,,,,,,,
Thematic - Quant,Direct,3Y,20.02045,0.86605,0.49340000000000006,1.8921000000000001,,,,,,,
Thematic - Service Industries,Direct,3Y,22.1346,0.87845,0.6179,5.99525,,,,,,,
Thematic - Shariah,Direct,3Y,17.481099999999998,0.9256,0.72575,0.03914999999999999,,,,,,,
Ultra Short Duration Fund,Direct,3Y,0.6279761904761906,0.8657380952380952,-4.342190476190475,1.0782,,,,,,,
Value Fund,Direct,3Y,23.22230769230769,0.9758076923076924,0.5428153846153847,2.342746153846154,,,,,,,
