scheme_code,market_cap,yield_to_maturity,average_maturity,modified_duration,pe_ratio,portfolio_turnover_ratio,row_num
148595,"{'market_cap_large': 44.0881, 'market_cap_mid': 6.4003, 'market_cap_others': 34.7323, 'market_cap_small': 14.7793}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",29.4032,1.16,1
152158,"{'market_cap_large': 69.1938, 'market_cap_mid': 9.169, 'market_cap_others': 2.0847, 'market_cap_small': 19.5525}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",32.1543,0.0,1
153114,"{'market_cap_large': 75.1063, 'market_cap_mid': 25.0982, 'market_cap_others': -0.2045, 'market_cap_small': 0.0}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",41.6463,0.0,1
119732,"{'market_cap_large': 71.8029, 'market_cap_mid': 21.6525, 'market_cap_others': 3.6987, 'market_cap_small': 2.8459}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",16.4477,0.27,1
149141,"{'market_cap_large': 68.7167, 'market_cap_mid': 15.996, 'market_cap_others': 5.4795, 'market_cap_small': 9.8079}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",46.79,0.64,1
118344,"{'market_cap_large': 85.6445, 'market_cap_mid': 10.1362, 'market_cap_others': 3.1326, 'market_cap_small': 1.0867}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",36.8273,0.03,1
119556,"{'market_cap_large': 3.5925, 'market_cap_mid': 12.4754, 'market_cap_others': 4.0627, 'market_cap_small': 79.8694}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",48.1555,0.41,1
120413,"{'market_cap_large': 41.7752, 'market_cap_mid': 27.9909, 'market_cap_others': 5.2033, 'market_cap_small': 25.0307}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",60.1594,1.16,1
119250,"{'market_cap_large': 78.9196, 'market_cap_mid': 3.3749, 'market_cap_others': 13.3175, 'market_cap_small': 4.388}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",24.598,0.27,1
152684,"{'market_cap_large': 56.2231, 'market_cap_mid': 39.7076, 'market_cap_others': 0.7619, 'market_cap_small': 3.3074}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",40.4934,0.0,1
151165,"{'market_cap_large': 98.3543, 'market_cap_mid': 1.1354, 'market_cap_others': 0.5103, 'market_cap_small': 0.0}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",30.2626,0.07,1
153055,"{'market_cap_large': 44.4652, 'market_cap_mid': 12.9109, 'market_cap_others': 5.3752, 'market_cap_small': 37.2488}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",55.77,0.0467,1
